"Jurisdiction","Range","Cases Reported","Community Transmission�","URL"
"Alabama","1001 to 5000","4241","Yes, defined area(s)","http://www.adph.org/"
"Alaska","101 to 1000","293","Yes, defined area(s)","http://dhss.alaska.gov/Pages/default.aspx"
"American Samoa","None","0","N/A","http://dhss.as/"
"Arizona","1001 to 5000","3962","Yes, widespread","http://www.azdhs.gov/"
"Arkansas","1001 to 5000","1583","Yes, widespread","https://www.healthy.arkansas.gov/"
"California","10,001 or more","24424","Yes, widespread","https://www.cdph.ca.gov/"
"Colorado","5001 to 10,000","8280","Yes, widespread","https://www.colorado.gov/cdphe"
"Connecticut","10,001 or more","14755","Yes, widespread","http://www.ct.gov/dph/site/default.asp"
"Delaware","1001 to 5000","2014","Yes, widespread","http://www.dhss.delaware.gov/dhss/dph/index.html"
"District of Columbia","1001 to 5000","2197","Undetermined","http://doh.dc.gov/"
"Florida","10,001 or more","21865","Yes, widespread","http://www.floridahealth.gov/"
"Georgia","10,001 or more","15409","Yes, widespread","http://dph.georgia.gov/"
"Guam","101 to 1000","135","Yes, widespread","https://dphss.guam.gov/dph/"
"Hawaii","101 to 1000","517","Yes, defined area(s)","http://health.hawaii.gov/"
"Idaho","1001 to 5000","1587","Yes, widespread","http://www.healthandwelfare.idaho.gov/"
"Illinois","10,001 or more","24593","Yes, widespread","http://www.idph.state.il.us/"
"Indiana","5001 to 10,000","8955","Undetermined","http://www.in.gov/isdh/"
"Iowa","1001 to 5000","1995","Yes, widespread","http://idph.iowa.gov/"
"Kansas","1001 to 5000","1494","Yes, defined area(s)","http://www.kdheks.gov/"
"Kentucky","1001 to 5000","2291","Undetermined","https://chfs.ky.gov/agencies/dph/Pages/default.aspx"
"Louisiana","10,001 or more","21951","Yes, widespread","http://dhh.louisiana.gov/"
"Maine","101 to 1000","770","Yes, widespread","http://www.maine.gov/dhhs/index.shtml"
"Marshall Islands","None","0","N/A",""
"Maryland","10,001 or more","10784","Yes, widespread","http://dhmh.maryland.gov/Pages/Index.aspx"
"Massachusetts","10,001 or more","29918","Yes, widespread","https://www.mass.gov/orgs/department-of-public-health"
"Michigan","10,001 or more","28059","Yes, widespread","http://www.michigan.gov/mdch"
"Micronesia","None","0","N/A","http://www.fsmgov.org/ngovt.html"
"Minnesota","1001 to 5000","1862","Yes, widespread","http://www.health.state.mn.us/"
"Mississippi","1001 to 5000","3624","Yes, widespread","http://www.msdh.state.ms.us/"
"Missouri","1001 to 5000","4895","Yes, defined area(s)","http://health.mo.gov/index.php"
"Montana","101 to 1000","415","Yes, defined area(s)","http://dphhs.mt.gov/"
"Nebraska","101 to 1000","952","Yes, widespread","http://dhhs.ne.gov/Pages/default.aspx"
"Nevada","1001 to 5000","3211","Yes, widespread","http://dpbh.nv.gov/"
"New Hampshire","1001 to 5000","1139","Yes, widespread","http://www.dhhs.nh.gov/"
"New Jersey","10,001 or more","71030","Yes, widespread","http://www.state.nj.us/health/"
"New Mexico","1001 to 5000","1484","Yes, widespread","http://nmhealth.org/"
"New York","10,001 or more","211550","Yes, widespread","https://www.health.ny.gov/"
"North Carolina","5001 to 10,000","5123","Yes, widespread","http://www.ncdhhs.gov/"
"North Dakota","101 to 1000","365","Yes, defined area(s)","http://www.ndhealth.gov/"
"Northern Marianas","1 to 100","13","Undetermined","http://chcc.gov.mp/"
"Ohio","5001 to 10,000","7791","Yes, defined area(s)","https://www.odh.ohio.gov/"
"Oklahoma","1001 to 5000","2263","Yes, widespread","https://www.ok.gov/health/"
"Oregon","1001 to 5000","1663","Yes, widespread","http://www.oregon.gov/oha/ph/pages/index.aspx"
"Palau","None","0","N/A","http://www.palauhealth.org/"
"Pennsylvania","10,001 or more","26490","Yes, defined area(s)","https://www.health.pa.gov/Pages/default.aspx"
"Puerto Rico","101 to 1000","974","Undetermined","http://www.salud.gov.pr/Pages/Home.aspx"
"Rhode Island","1001 to 5000","3529","Yes, widespread","http://www.health.state.ri.us/"
"South Carolina","1001 to 5000","3656","Yes, widespread","http://www.scdhec.gov/"
"South Dakota","1001 to 5000","1168","Yes, defined area(s)","http://doh.sd.gov/"
"Tennessee","5001 to 10,000","5836","Yes, defined area(s)","https://www.tn.gov/health.html"
"Texas","10,001 or more","15492","Yes, defined area(s)","https://www.dshs.state.tx.us/"
"Utah","1001 to 5000","2637","Yes, widespread","https://health.utah.gov/"
"Vermont","101 to 1000","759","Yes, widespread","http://healthvermont.gov/"
"Virgin Islands","1 to 100","51","Yes, defined area(s)","https://doh.vi.gov/"
"Virginia","5001 to 10,000","6889","Yes, widespread","http://www.vdh.state.va.us/"
"Washington","10,001 or more","10783","Yes, widespread","http://www.doh.wa.gov/"
"West Virginia","101 to 1000","718","Yes, defined area(s)","http://www.dhhr.wv.gov/bph/Pages/default.aspx"
"Wisconsin","1001 to 5000","3721","Yes, widespread","https://www.dhs.wisconsin.gov/"
"Wyoming","101 to 1000","393","Yes, defined area(s)","http://health.wyo.gov/"
"","","","",""
